ID,VendaID,Data,Produto,Categoria,Quantidade,Preco_Unitario,Valor_Total,Cliente_ID,Forma_Pagamento,Vendedor,Loja
26,1026,2024-01-27,Impressora,Eletrônicos,1,399.99,399.99,226,Cartão Débito,Carlos Lima,Loja B
27,1027,2024-01-28,Jaqueta Corta-Vento,Vestuário,1,199.99,199.99,227,PIX,Ana Silva,Loja A
28,1028,2024-01-28,Cabo USB,Acessórios,4,14.99,59.96,228,Dinheiro,Beatriz Souza,Loja C
29,1029,2024-01-29,Liquidificador,Eletrodomésticos,1,129.99,129.99,229,Cartão Crédito,Carlos Lima,Loja B
30,1030,2024-01-29,Shorts,Vestuário,2,34.99,69.98,230,Cartão Débito,Ana Silva,Loja A
31,1031,2024-01-30,Console Games,Eletrônicos,1,1999.99,1999.99,231,PIX,Beatriz Souza,Loja C
32,1032,2024-01-30,Meias,Acessórios,6,9.99,59.94,232,Dinheiro,Carlos Lima,Loja B
33,1033,2024-01-31,Bota,Calçados,1,249.99,249.99,233,Cartão Crédito,Ana Silva,Loja A
34,1034,2024-01-31,Webcam,Eletrônicos,1,149.99,149.99,234,Cartão Débito,Beatriz Souza,Loja C
35,1035,2024-02-01,Suéter,Vestuário,2,79.99,159.98,235,PIX,Carlos Lima,Loja B
36,1036,2024-02-01,Carregador Portátil,Acessórios,1,99.99,99.99,236,Dinheiro,Ana Silva,Loja A
37,1037,2024-02-02,Aspirador de Pó,Eletrodomésticos,1,399.99,399.99,237,Cartão Crédito,Beatriz Souza,Loja C
38,1038,2024-02-02,Óculos de Sol,Acessórios,1,129.99,129.99,238,Cartão Débito,Carlos Lima,Loja B
39,1039,2024-02-03,Calça Moletom,Vestuário,1,89.99,89.99,239,PIX,Ana Silva,Loja A
40,1040,2024-02-03,Headphone,Acessórios,1,399.99,399.99,240,Dinheiro,Beatriz Souza,Loja C
41,1041,2024-02-04,TV 55",Eletrônicos,1,1899.99,1899.99,241,Cartão Crédito,Carlos Lima,Loja B
42,1042,2024-02-04,Blusa Regata,Vestuário,3,24.99,74.97,242,Cartão Débito,Ana Silva,Loja A
43,1043,2024-02-05,Ventilador,Eletrodomésticos,1,129.99,129.99,243,PIX,Beatriz Souza,Loja C
44,1044,2024-02-05,Pelúcia Decorativa,Casa,2,39.99,79.98,244,Dinheiro,Carlos Lima,Loja B
45,1045,2024-02-06,Chinelo,Calçados,4,19.99,79.96,245,Cartão Crédito,Ana Silva,Loja A
46,1046,2024-02-06,Tablet 8",Eletrônicos,1,299.99,299.99,246,Cartão Débito,Beatriz Souza,Loja C
47,1047,2024-02-07,Cortina,Casa,1,89.99,89.99,247,PIX,Carlos Lima,Loja B
48,1048,2024-02-07,Cinto,Acessórios,2,29.99,59.98,248,Dinheiro,Ana Silva,Loja A
49,1049,2024-02-08,Geladeira,Eletrodomésticos,1,2599.99,2599.99,249,Cartão Crédito,Beatriz Souza,Loja C
50,1050,2024-02-08,Cobertor,Casa,1,69.99,69.99,250,Cartão Débito,Carlos Lima,Loja B
51,1051,2024-02-09,Smartphone ABC,Eletrônicos,1,699.99,699.99,251,PIX,Ana Silva,Loja A
52,1052,2024-02-09,Toalha de Banho,Casa,3,29.99,89.97,252,Dinheiro,Beatriz Souza,Loja C
53,1053,2024-02-10,Máquina de Lavar,Eletrodomésticos,1,1799.99,1799.99,253,Cartão Crédito,Carlos Lima,Loja B
54,1054,2024-02-10,Lençol,Casa,2,49.99,99.98,254,Cartão Débito,Ana Silva,Loja A
55,1055,2024-02-11,Fogão,Eletrodomésticos,1,899.99,899.99,255,PIX,Beatriz Souza,Loja C
56,1056,2024-02-11,Almofada,Casa,4,19.99,79.96,256,Dinheiro,Carlos Lima,Loja B
57,1057,2024-02-12,Notebook Ultrafino,Eletrônicos,1,1899.99,1899.99,257,Cartão Crédito,Ana Silva,Loja A
58,1058,2024-02-12,Jogo de Cama,Casa,1,199.99,199.99,258,Cartão Débito,Beatriz Souza,Loja C
59,1059,2024-02-13,Camera Action,Eletrônicos,1,499.99,499.99,259,PIX,Carlos Lima,Loja B
60,1060,2024-02-13,Vaso Decorativo,Casa,2,34.99,69.98,260,Dinheiro,Ana Silva,Loja A
61,1061,2024-02-14,Smart TV 43",Eletrônicos,1,1299.99,1299.99,261,Cartão Crédito,Beatriz Souza,Loja C
62,1062,2024-02-14,Tapete,Casa,1,159.99,159.99,262,Cartão Débito,Carlos Lima,Loja B
63,1063,2024-02-15,Drone,Eletrônicos,1,799.99,799.99,263,PIX,Ana Silva,Loja A
64,1064,2024-02-15,Abajur,Casa,1,79.99,79.99,264,Dinheiro,Beatriz Souza,Loja C
65,1065,2024-02-16,Tablet Kids,Eletrônicos,1,199.99,199.99,265,Cartão Crédito,Carlos Lima,Loja B
66,1066,2024-02-16,Quadro Decorativo,Casa,3,45.99,137.97,266,Cartão Débito,Ana Silva,Loja A
67,1067,2024-02-17,Caixa de Som Bluetooth,Eletrônicos,1,159.99,159.99,267,PIX,Beatriz Souza,Loja C
68,1068,2024-02-17,Organizador,Casa,2,29.99,59.98,268,Dinheiro,Carlos Lima,Loja B
69,1069,2024-02-18,Smartphone Pro,Eletrônicos,1,1199.99,1199.99,269,Cartão Crédito,Ana Silva,Loja A
70,1070,2024-02-18,Porta-retrato,Casa,4,12.99,51.96,270,Cartão Débito,Beatriz Souza,Loja C
71,1071,2024-02-19,Monitor Curvo,Eletrônicos,1,899.99,899.99,271,PIX,Carlos Lima,Loja B
72,1072,2024-02-19,Jarra Decorativa,Casa,1,39.99,39.99,272,Dinheiro,Ana Silva,Loja A
73,1073,2024-02-20,PC Gamer,Eletrônicos,1,3499.99,3499.99,273,Cartão Crédito,Beatriz Souza,Loja C
74,1074,2024-02-20,Cesta de Vime,Casa,2,24.99,49.98,274,Cartão Débito,Carlos Lima,Loja B
75,1075,2024-02-21,Smartwatch Pro,Acessórios,1,499.99,499.99,275,PIX,Ana Silva,Loja A
76,1076,2024-02-21,Velas Aromáticas,Casa,3,14.99,44.97,276,Dinheiro,Beatriz Souza,Loja C
77,1077,2024-02-22,Fone Over-ear,Acessórios,1,299.99,299.99,277,Cartão Crédito,Carlos Lima,Loja B
78,1078,2024-02-22,Difusor de Ambiente,Casa,1,59.99,59.99,278,Cartão Débito,Ana Silva,Loja A
79,1079,2024-02-23,Power Bank,Acessórios,2,79.99,159.98,279,PIX,Beatriz Souza,Loja C
80,1080,2024-02-23,Plantas Decorativas,Casa,2,34.99,69.98,280,Dinheiro,Carlos Lima,Loja B
81,1081,2024-02-24,Tablet Stand,Acessórios,1,29.99,29.99,281,Cartão Crédito,Ana Silva,Loja A
82,1082,2024-02-24,Cortina Blackout,Casa,1,129.99,129.99,282,Cartão Débito,Beatriz Souza,Loja C
83,1083,2024-02-25,Cabo HDMI,Acessórios,3,19.99,59.97,283,PIX,Carlos Lima,Loja B
84,1084,2024-02-25,Mesa Lateral,Casa,1,199.99,199.99,284,Dinheiro,Ana Silva,Loja A
85,1085,2024-02-26,Pelicula Vidro,Acessórios,5,15.99,79.95,285,Cartão Crédito,Beatriz Souza,Loja C
86,1086,2024-02-26,Cadeira de Escritório,Móveis,1,499.99,499.99,286,Cartão Débito,Carlos Lima,Loja B
87,1087,2024-02-27,Suporte Notebook,Acessórios,1,89.99,89.99,287,PIX,Ana Silva,Loja A
88,1088,2024-02-27,Sofá 3 Lugares,Móveis,1,1899.99,1899.99,288,Dinheiro,Beatriz Souza,Loja C
89,1089,2024-02-28,Adaptador USB-C,Acessórios,2,34.99,69.98,289,Cartão Crédito,Carlos Lima,Loja B
90,1090,2024-02-28,Mesa de Jantar,Móveis,1,899.99,899.99,290,Cartão Débito,Ana Silva,Loja A
91,1091,2024-02-29,Hub USB,Acessórios,1,129.99,129.99,291,PIX,Beatriz Souza,Loja C
92,1092,2024-02-29,Cama Box,Móveis,1,1299.99,1299.99,292,Dinheiro,Carlos Lima,Loja B
93,1093,2024-03-01,Carregador Rápido,Acessórios,3,49.99,149.97,293,Cartão Crédito,Ana Silva,Loja A
94,1094,2024-03-01,Guarda-roupa,Móveis,1,799.99,799.99,294,Cartão Débito,Beatriz Souza,Loja C
95,1095,2024-03-02,Fone Esportivo,Acessórios,1,149.99,149.99,295,PIX,Carlos Lima,Loja B
96,1096,2024-03-02,Escrivaninha,Móveis,1,399.99,399.99,296,Dinheiro,Ana Silva,Loja A
97,1097,2024-03-03,Caixa de Som Mini,Acessórios,2,69.99,139.98,297,Cartão Crédito,Beatriz Souza,Loja C
98,1098,2024-03-03,Armário,Móveis,1,599.99,599.99,298,Cartão Débito,Carlos Lima,Loja B
99,1099,2024-03-04,Suporte Celular Carro,Acessórios,1,39.99,39.99,299,PIX,Ana Silva,Loja A
100,1100,2024-03-04,Estante Livros,Móveis,1,299.99,299.99,300,Dinheiro,Beatriz Souza,Loja C
101,1101,2024-03-05,Smartphone Compacto,Eletrônicos,1,599.99,599.99,301,Cartão Crédito,Carlos Lima,Loja B
102,1102,2024-03-05,Poltrona,Móveis,2,349.99,699.98,302,Cartão Débito,Ana Silva,Loja A
103,1103,2024-03-06,Notebook Estudante,Eletrônicos,1,999.99,999.99,303,PIX,Beatriz Souza,Loja C
104,1104,2024-03-06,Banco,Móveis,1,149.99,149.99,304,Dinheiro,Carlos Lima,Loja B
105,1105,2024-03-07,Tablet Profissional,Eletrônicos,1,899.99,899.99,305,Cartão Crédito,Ana Silva,Loja A
106,1106,2024-03-07,Cômoda,Móveis,1,499.99,499.99,306,Cartão Débito,Beatriz Souza,Loja C
107,1107,2024-03-08,Monitor Office,Eletrônicos,1,499.99,499.99,307,PIX,Carlos Lima,Loja B
108,1108,2024-03-08,Mesa de Centro,Móveis,1,299.99,299.99,308,Dinheiro,Ana Silva,Loja A
109,1109,2024-03-09,TV 32",Eletrônicos,1,699.99,699.99,309,Cartão Crédito,Beatriz Souza,Loja C
110,1110,2024-03-09,Puff,Móveis,3,79.99,239.97,310,Cartão Débito,Carlos Lima,Loja B
111,1111,2024-03-10,Console Portátil,Eletrônicos,1,399.99,399.99,311,PIX,Ana Silva,Loja A
112,1112,2024-03-10,Cabeceira,Móveis,1,199.99,199.99,312,Dinheiro,Beatriz Souza,Loja C
113,1113,2024-03-11,Camera Webcam,Eletrônicos,1,199.99,199.99,313,Cartão Crédito,Carlos Lima,Loja B
114,1114,2024-03-11,Mesa de Cabeceira,Móveis,2,129.99,259.98,314,Cartão Débito,Ana Silva,Loja A
115,1115,2024-03-12,Smartphone Gamer,Eletrônicos,1,1399.99,1399.99,315,PIX,Beatriz Souza,Loja C
116,1116,2024-03-12,Armário de TV,Móveis,1,399.99,399.99,316,Dinheiro,Carlos Lima,Loja B
117,1117,2024-03-13,Notebook Convertível,Eletrônicos,1,2199.99,2199.99,317,Cartão Crédito,Ana Silva,Loja A
118,1118,2024-03-13,Banco de Jardim,Móveis,2,89.99,179.98,318,Cartão Débito,Beatriz Souza,Loja C
119,1119,2024-03-14,Tablet Desenho,Eletrônicos,1,699.99,699.99,319,PIX,Carlos Lima,Loja B
120,1120,2024-03-14,Mesa Externa,Móveis,1,249.99,249.99,320,Dinheiro,Ana Silva,Loja A
121,1121,2024-03-15,Monitor 27",Eletrônicos,1,799.99,799.99,321,Cartão Crédito,Beatriz Souza,Loja C
122,1122,2024-03-15,Cadeira de Balanço,Móveis,1,299.99,299.99,322,Cartão Débito,Carlos Lima,Loja B
123,1123,2024-03-16,TV 65",Eletrônicos,1,2499.99,2499.99,323,PIX,Ana Silva,Loja A
124,1124,2024-03-16,Escrivaninha Compacta,Móveis,1,299.99,299.99,324,Dinheiro,Beatriz Souza,Loja C
125,1125,2024-03-17,Notebook Executivo,Eletrônicos,1,1699.99,1699.99,325,Cartão Crédito,Carlos Lima,Loja B
126,1126,2024-03-17,Armário de Cozinha,Móveis,1,599.99,599.99,326,Cartão Débito,Ana Silva,Loja A
127,1127,2024-03-18,Tablet Leitura,Eletrônicos,1,399.99,399.99,327,PIX,Beatriz Souza,Loja C
128,1128,2024-03-18,Mesa de Computador,Móveis,1,449.99,449.99,328,Dinheiro,Carlos Lima,Loja B
129,1129,2024-03-19,Monitor 4K,Eletrônicos,1,1199.99,1199.99,329,Cartão Crédito,Ana Silva,Loja A
130,1130,2024-03-19,Cadeira de Refeição,Móveis,4,149.99,599.96,330,Cartão Débito,Beatriz Souza,Loja C
131,1131,2024-03-20,Smartphone Câmera Pro,Eletrônicos,1,1599.99,1599.99,331,PIX,Carlos Lima,Loja B
132,1132,2024-03-20,Estante de Canto,Móveis,1,349.99,349.99,332,Dinheiro,Ana Silva,Loja A
133,1133,2024-03-21,Notebook Designer,Eletrônicos,1,2799.99,2799.99,333,Cartão Crédito,Beatriz Souza,Loja C
134,1134,2024-03-21,Mesa de Jantar Redonda,Móveis,1,699.99,699.99,334,Cartão Débito,Carlos Lima,Loja B
135,1135,2024-03-22,Tablet Kids Pro,Eletrônicos,1,299.99,299.99,335,PIX,Ana Silva,Loja A
136,1136,2024-03-22,Banco de Bar,Móveis,2,199.99,399.98,336,Dinheiro,Beatriz Souza,Loja C
137,1137,2024-03-23,Monitor Ultrawide,Eletrônicos,1,1599.99,1599.99,337,Cartão Crédito,Carlos Lima,Loja B
138,1138,2024-03-23,Cômoda de Banheiro,Móveis,1,299.99,299.99,338,Cartão Débito,Ana Silva,Loja A
139,1139,2024-03-24,TV 75",Eletrônicos,1,3499.99,3499.99,339,PIX,Beatriz Souza,Loja C
140,1140,2024-03-24,Mesa de Canto,Móveis,1,179.99,179.99,340,Dinheiro,Carlos Lima,Loja B
141,1141,2024-03-25,Smartphone Dual Chip,Eletrônicos,1,499.99,499.99,341,Cartão Crédito,Ana Silva,Loja A
142,1142,2024-03-25,Estante Modular,Móveis,1,499.99,499.99,342,Cartão Débito,Beatriz Souza,Loja C
143,1143,2024-03-26,Notebook Programador,Eletrônicos,1,2399.99,2399.99,343,PIX,Carlos Lima,Loja B
144,1144,2024-03-26,Cadeira de Descanso,Móveis,1,399.99,399.99,344,Dinheiro,Ana Silva,Loja A
145,1145,2024-03-27,Tablet Chef,Eletrônicos,1,599.99,599.99,345,Cartão Crédito,Beatriz Souza,Loja C
146,1146,2024-03-27,Mesa de Escritório,Móveis,1,599.99,599.99,346,Cartão Débito,Carlos Lima,Loja B
147,1147,2024-03-28,Monitor Profissional,Eletrônicos,1,899.99,899.99,347,PIX,Ana Silva,Loja A
148,1148,2024-03-28,Armário de Sapatos,Móveis,1,249.99,249.99,348,Dinheiro,Beatriz Souza,Loja C
149,1149,2024-03-29,TV OLED,Eletrônicos,1,4299.99,4299.99,349,Cartão Crédito,Carlos Lima,Loja B
150,1150,2024-03-29,Cadeira Giratória,Móveis,1,599.99,599.99,350,Cartão Débito,Ana Silva,Loja A
151,1151,2024-03-30,Smartphone 5G,Eletrônicos,1,899.99,899.99,351,PIX,Beatriz Souza,Loja C
152,1152,2024-03-30,Estante de Livros,Móveis,1,399.99,399.99,352,Dinheiro,Carlos Lima,Loja B
153,1153,2024-03-31,Notebook Gamer Pro,Eletrônicos,1,3899.99,3899.99,353,Cartão Crédito,Ana Silva,Loja A
154,1154,2024-03-31,Mesa de Reunião,Móveis,1,1299.99,1299.99,354,Cartão Débito,Beatriz Souza,Loja C
155,1155,2024-04-01,Tablet Artist,Eletrônicos,1,799.99,799.99,355,PIX,Carlos Lima,Loja B
156,1156,2024-04-01,Banco Otomano,Móveis,1,199.99,199.99,356,Dinheiro,Ana Silva,Loja A
157,1157,2024-04-02,Monitor Curvo Gamer,Eletrônicos,1,1299.99,1299.99,357,Cartão Crédito,Beatriz Souza,Loja C
158,1158,2024-04-02,Cadeira de Leitura,Móveis,1,349.99,349.99,358,Cartão Débito,Carlos Lima,Loja B
159,1159,2024-04-03,TV 85",Eletrônicos,1,5999.99,5999.99,359,PIX,Ana Silva,Loja A
160,1160,2024-04-03,Mesa de Jantar Extensível,Móveis,1,1099.99,1099.99,360,Dinheiro,Beatriz Souza,Loja C
161,1161,2024-04-04,Smartphone Fold,Eletrônicos,1,1999.99,1999.99,361,Cartão Crédito,Carlos Lima,Loja B
162,1162,2024-04-04,Estante de Canto,Móveis,1,299.99,299.99,362,Cartão Débito,Ana Silva,Loja A
163,1163,2024-04-05,Notebook Ultrabook,Eletrônicos,1,1899.99,1899.99,363,PIX,Beatriz Souza,Loja C
164,1164,2024-04-05,Cadeira de Escritório Executiva,Móveis,1,899.99,899.99,364,Dinheiro,Carlos Lima,Loja B
165,1165,2024-04-06,Tablet Business,Eletrônicos,1,999.99,999.99,365,Cartão Crédito,Ana Silva,Loja A
166,1166,2024-04-06,Mesa de Centro Moderna,Móveis,1,399.99,399.99,366,Cartão Débito,Beatriz Souza,Loja C
167,1167,2024-04-07,Monitor 32" 4K,Eletrônicos,1,899.99,899.99,367,PIX,Carlos Lima,Loja B
168,1168,2024-04-07,Armário de Entrada,Móveis,1,499.99,499.99,368,Dinheiro,Ana Silva,Loja A
169,1169,2024-04-08,TV QLED,Eletrônicos,1,3299.99,3299.99,369,Cartão Crédito,Beatriz Souza,Loja C
170,1170,2024-04-08,Cadeira de Balanço Moderna,Móveis,1,449.99,449.99,370,Cartão Débito,Carlos Lima,Loja B
171,1171,2024-04-09,Smartphone Compact Pro,Eletrônicos,1,799.99,799.99,371,PIX,Ana Silva,Loja A
172,1172,2024-04-09,Estante para TV,Móveis,1,699.99,699.99,372,Dinheiro,Beatriz Souza,Loja C
173,1173,2024-04-10,Notebook Student,Eletrônicos,1,1199.99,1199.99,373,Cartão Crédito,Carlos Lima,Loja B
174,1174,2024-04-10,Mesa de Jantar Retangular,Móveis,1,799.99,799.99,374,Cartão Débito,Ana Silva,Loja A
175,1175,2024-04-11,Tablet Entertainment,Eletrônicos,1,499.99,499.99,375,PIX,Beatriz Souza,Loja C
176,1176,2024-04-11,Cadeira de Jardim,Móveis,4,129.99,519.96,376,Dinheiro,Carlos Lima,Loja B
177,1177,2024-04-12,Monitor Office Pro,Eletrônicos,1,599.99,599.99,377,Cartão Crédito,Ana Silva,Loja A
178,1178,2024-04-12,Armário de Cozinha Pequeno,Móveis,1,399.99,399.99,378,Cartão Débito,Beatriz Souza,Loja C
179,1179,2024-04-13,TV 43" Smart,Eletrônicos,1,899.99,899.99,379,PIX,Carlos Lima,Loja B
180,1180,2024-04-13,Mesa de Cabeceira Moderna,Móveis,1,249.99,249.99,380,Dinheiro,Ana Silva,Loja A
181,1181,2024-04-14,Smartphone Value,Eletrônicos,1,399.99,399.99,381,Cartão Crédito,Beatriz Souza,Loja C
182,1182,2024-04-14,Estante para Livros Grande,Móveis,1,599.99,599.99,382,Cartão Débito,Carlos Lima,Loja B
183,1183,2024
